,language,family,core inventory
138,Ejagham,NIGER-CONGO (Bantu),"['p', 't', 'tʃ', 'k', 'k͡p', 'b', 'd', 'dʒ', 'ɡ', 'ɡ͡b', 'i', 'y', 'u', 'f', 's', 'ɛ', 'ə', 'ɔ', 'm', 'n', 'ɲ', 'ŋ', 'a', 'ɾ', 'w', 'j', '']"
139,Ejagham (Eyumojok-Ndebaya sub-dialect),NIGER-CONGO (Bantu),"['p', 't', 'tʃ', 'k', 'k͡p', 'b', 'd', 'dʒ', 'ɡ', 'ɡ͡b', 'i', 'y', 'u', 'f', 's', 'ɛ', 'ə', 'ɔ', 'm', 'n', 'ɲ', 'ŋ', 'a', 'ɾ', 'w', 'j', '']"
140,Ekigusii,NIGER-CONGO (Bantu),"['t', 'cç', 'k', 's', 'i', 'u', 'β', 'ɣ', 'e', 'o', 'm', 'n', 'ɲ', 'ŋ', 'ɛ', 'ɔ', 'ɾ', 'a', 'w', 'j', '']"
141,Emhalhe (Somorika),NIGER-CONGO (Edoid),"['p', 't', 'c', 'k', 'k͡p', 'b', 'd', 'ɟ', 'ɡ', 'ɡ͡b', 'i', 'u', 't̂', 'k̂͡p̂', 'ʊ', 'b̂', 'd̂', 'e', 'o', 'f', 'θ', 's', 'ʃ', 'h', 'ɛ', 'ɔ', 'v', 'z', 'a', 'v̤', 'z̤', 'ʒ̤', 'h̃', 'm', 'n', 'ɲ', 'ŋʷ', 'm̂', 'n̂', 'r', 'ɾ', 'l', 'j', 'w', 'ɺ', '']"
142,English,INDO-EUROPEAN (Germanic),"['p', 't', 'tʃ', 'k', 'b', 'd', 'dʒ', 'ɡ', 'aɪ', 'aʊ', 'f', 'θ', 's', 'ʃ', 'h', 'iː', 'uː', 'v', 'ð', 'z', 'ʒ', 'ɪ', 'ʊ', 'm', 'n', 'ŋ', 'eɪ', 'ə', 'ɜː', 'oʊ', 'l', 'ɛ', 'ʌ', 'ɔː', 'ɹ', 'æ', 'ɑː', 'w', 'j', '']"
143,English (American),INDO-EUROPEAN (Germanic),"['p', 't', 'tʃ', 'k', 'b', 'd', 'dʒ', 'ɡ', 'i', 'ɪ', 'ə', 'ʊ', 'u', 'f', 'θ', 's', 'ʃ', 'h', 'e', 'ɛ', 'ʌ', 'ɔ', 'o', 'v', 'ð', 'z', 'ʒ', 'æ', 'a', 'm', 'n', 'ŋ', 'l', 'aʊ', 'aɪ', 'ɹ', 'w', 'j', '']"
144,Epie,NIGER-CONGO (Edoid),"['p', 't', 'k', 'k͡p', 'b', 'd', 'ɡ', 'ɡ͡b', 'i', 'ĩ', 'u', 'ũ', 'ɓ', 'ɗ', 'ɪ', 'ɪ̃', 'ʊ', 'ʊ̃', 'f', 's', 'e', 'ẽ', 'o', 'õ', 'v', 'z', 'ɣ', 'ɛ', 'ɛ̃', 'ɔ', 'ɔ̃', 'm', 'a', 'ã', 'r', 'l', 'j', 'w', '']"
145,Eruwa,NIGER-CONGO (Edoid),"['p', 't', 'k', 'k͡p', 'b', 'd', 'ɡ', 'ɡ͡b', 'i', 'ĩ', 'u', 'ũ', 'f', 's', 'x', 'ɪ', 'ɪ̃', 'ʊ', 'ʊ̃', 'v', 'z', 'ɣ', 'e', 'ẽ', 'o', 'õ', 'm', 'ɛ', 'ɛ̃', 'ɔ', 'ɔ̃', 'l', 'a', 'ã', 'ʋ', 'ɹ', 'j', 'w', '']"
146,Esse Ejja,TACANAN,"['p', 't', 'tʃ', 'k', 'kʷ', 'ʔ', 'ɓ', 'ɗ', 'i', 'o', 's', 'ʃ', 'x', 'h', 'e', 'a', 'm', 'n', 'ɲ', 'w', 'j', '']"
147,Estonian,URALIC (Finno-Ugric),"['p', 't', 'tʲ', 'k', 'f', 's', 'sʲ', 'ç', 'h', 'i', 'y', 'u', 'm', 'n', 'nʲ', 'ŋ', 'e', 'ø', 'ɤ', 'o', 'l', 'lʲ', 'æ', 'a', 'r', 'ʋ', 'j', '']"
148,Evenki,ALTAIC,"['p', 't', 'tʃ', 'k', 'ɪː', 'ʊː', 'b', 'd', 'dʒ', 'ɡ', 'ɪ', 'ɯ', 'ʊ', 'm', 'n', 'ɲ', 'jeː', 'ɛː', 'oː', 's', 'x', 'h', 'je', 'ɛ', 'o', 'v', 'ʒ', 'aː', 'l', 'a', 'r', '']"
149,Ewe,NIGER-CONGO (Kwa),"['p', 't', 'k', 'k͡p', 'b', 'd', 'ɖ', 'ɡ', 'ɡ͡b', 'i', 'u', 'ts', 'e', 'o', 'dz', 'ɛ', 'ɔ', 'ɸ', 'f', 's', 'x', 'a', 'β', 'v', 'z', 'ɦ', 'm', 'n', 'ɲ', 'ŋ', 'l', 'w', 'j', 'ɰ', '']"
150,Faranah-Maninka,NIGER-CONGO,"['p', 't', 'k', 'b', 'd', 'ɡ', 'ɡ͡ɓ', 'i', 'u', 'f', 's', 'h', 'e', 'o', 'm', 'n', 'ɲ', 'ɛ', 'ɔ', 'r', 'a', 'l', 'w', 'j', '']"
151,Faroese,INDO-EUROPEAN (Germanic),"['p', 't̪', 'tʃ', 'k', 'iː', 'ʉ', 'uː', 'b', 'd̪', 'dʒ', 'ɡ', 'ɪ', 'ʏ', 'ʊ', 'ʊʏ̯', 'f', 's', 'ʃ', 'h', 'eː', 'øː', 'o', 'oː', 'm', 'n̪', 'ɛ', 'œ', 'ɔ', 'ɔi̯', 'l̪', 'a', 'aː', 'ai̯', 'r', 'ʋ', 'j', '']"
152,Faroese (in some districts),INDO-EUROPEAN (Germanic),"['p', 't̪', 'tʃ', 'k', 'iː', 'ʉ', 'uː', 'b', 'd̪', 'dʒ', 'ɡ', 'ɪ', 'ʏ', 'ʊ', 'ʊʏ̯', 'f', 's', 'ʃ', 'h', 'eː', 'øː', 'o', 'oː', 'm', 'n̪', 'ɛ', 'œ', 'ɔ', 'ɔi̯', 'l̪', 'a', 'aː', 'ai̯', 'r', 'ʋ', 'j', '']"
153,FeʼFeʼ-Bamileke,NIGER-CONGO (Bantu),"['t', 'c', 'k', 'ʔ', 'i', 'iː', 'ɯ', 'ɯː', 'u', 'uː', 'b', 'd', 'ɟ', 'ɡ', 'e', 'eː', 'ɤː', 'o', 'f', 's', 'h', 'ɔː', 'v', 'z', 'a', 'aː', 'ɑ', 'ɑː', 'm', 'n', 'ŋ', '']"
154,"Fijian, Boumaa",AUSTRONESIAN,"['p', 't̪', 'k', 'ʔ', '\uf180b', 'ⁿd̪', '\uf182ɡ', 'i', 'u', 'f', 's', 'e', 'o', 'β', 'z̪', 'a', 'm', 'n̪', 'ŋ', 'r', 'ⁿr', 'l', 'j', 'w', '']"
155,Finnish,URALIC (Finno-Ugric),"['p', 't̪', 'k', 'd', 'i', 'y', 'u', 's', 'h', 'e', 'œ', 'o', 'm', 'n', 'ŋ', 'æ', 'ɑ', 'l', 'r', 'ʋ', 'j', '']"
156,Finnish (some dialects),URALIC (Finno-Ugric),"['p', 't̪', 'k', 'd', 'i', 'y', 'u', 's', 'h', 'e', 'œ', 'o', 'm', 'n', 'ŋ', 'æ', 'ɑ', 'l', 'r', 'ʋ', 'j', '']"
157,French,INDO-EUROPEAN (Italic),"['p', 't̪', 'k', 'b', 'd̪', 'ɡ', 'i', 'y', 'u', 'f', 's̪', 'ʃ', 'e', 'ø', 'o', 'v', 'z̪', 'ʒ', 'ɛ', 'œ', 'ə', 'a', 'ɔ', 'm', 'n̪', 'ɲ', 'ẽ', 'œ̃', 'ã', 'ɔ̃', 'ʀ', 'l̪', 'ɥ', 'j', 'w', '']"
158,Fulfulde (a dialect of Mali),NIGER-CONGO,"['p', 't', 'tʃ', 'k', 'ʔ', 'b', 'd', 'dʒ', 'ɡ', 'i', 'u', '\uf180b', 'ⁿd', 'ⁿɟ', '\uf182ɡ', 'e', 'o', 'ɓ', 'ɗ', 'ʄ', 'a', 'f', 's', 'h', 'm', 'n', 'ɲ', 'ŋ', 'r', 'l', 'w', 'j', '']"
159,Fyem (Fyam),NIGER-CONGO,"['p', 'pʲ', 'pʷ', 't', 'tʲ', 'k', 'kʲ', 'kʷ', '\uf180b', '\uf180bʲ', '\uf180bʷ', 'ⁿd', 'ⁿdʲ', 'ɡ', 'ɡʲ', 'ɡʷ', 'i', 'u', 'ɓ', 'ɗ', 'e', 'o', 'ts', 'a', 'dz', 'f', 'fʲ', 'fʷ', 's', 'sʲ', 'sʷ', 'ʃ', 'h', 'hʲ', 'hʷ', 'v', 'z', 'ʒ', 'm', 'mʷ', 'n', 'nʲ', 'ɲ', 'ŋ', 'r', 'rʲ', 'rʷ', 'l', 'lʲ', 'lʷ', 'w', 'j', '']"
160,Gade,NIGER-CONGO,"['p', 't', 'c', 'k', 'k͡p', 'b', 'd', 'ɡ', 'ɡ͡b', 'i', 'u', '\uf180b', 'ⁿd', 'ⁿɟ', '\uf182ɡ', 'ɪ', 'ʊ', 'f', 's', 'e', 'o', 'v', 'z', 'ɛ', 'ɔ', 'm', 'n', 'a', 'r', 'w', 'j', '']"
161,Gadsup,TRANS-NEW GUINEA,"['p', 't', 'k', 'ʔ', 'b', 'd', 'i', 'u', 'm', 'n', 'e', 'ə', 'o', 'j', 'æ', '']"
162,Ganda,NIGER-CONGO (Bantu),"['p', 't', 'c', 'k', 'b', 'd', 'ɟ', 'ɡ', 'i', 'u', 'f', 's', 'e', 'o', 'v', 'z', 'a', 'm', 'n', 'ɲ', 'ŋ', 'l', 'w', 'j', '']"
163,Ganggulida,AUSTRALIAN (Pama-Nyungan),"['b', 'd̪', 'd̪ʲ', 'ɖ', 'ɡ', 'm', 'n̪', 'n̪ʲ', 'ɳ', 'ŋ', 'i', 'u', 'r', 'a', 'l', 'w', 'ɻ', 'j', '']"
164,Garawa (Bundjil/Wandji),AUSTRALIAN,"['b', 'd̪', 'd̪ʲ', 'ɖ', 'ɡ', 'm', 'n̪', 'n̪ʲ', 'ɳ', 'ŋ', 'i', 'u', 'r', 'a', 'l', 'w', 'ɻ', 'j', '']"
165,Garo,SINO-TIBETAN,"['p', 't', 'k', 'ʔ', 'b', 'd', 'ɡ', 'ts', 'i', 'u', 'dz', 'e', 'o', 's', 'h', 'a', 'm', 'n', 'ŋ', 'r', 'w', '']"
166,Garwa,AUSTRALIAN(?),"['b', 'd̪', 'd̪ʲ', 'ɖ', 'ɡ', 'm', 'n̪', 'n̪ʲ', 'ɳ', 'ŋ', 'i', 'u', 'r', 'a', 'l', 'w', 'ɻ', 'j', '']"
167,Gã,NIGER-CONGO (Kwa),"['p', 't', 'k', 'b', 'd', 'ɡ', 'f', 's', 'ʃ', 'h', 'i', 'u', 'v', 'e', 'o', 'm', 'n', 'ŋ', 'ɛ', 'ɔ', 'l', 'a', 'r', 'w', 'ɥ', 'j', '']"
168,Georgian,SOUTH CAUCASIAN,"['pʰ', 'tʰ', 'kʰ', 'pʼ', 'tʼ', 'kʼ', 'qʼ', 'i', 'u', 'b', 'd', 'ɡ', 'e', 'o', 'ts', 'tʃ', 'a', 'tsʼ', 'tʃʼ', 'dʒ', 's', 'ʃ', 'x', 'h', 'v', 'z', 'ʒ', 'ʒ̥', 'ɣ', 'm', 'n', 'l', 'r', '']"
169,German,INDO-EUROPEAN (Germanic),"['p', 't', 'k', 'b', 'd', 'ɡ', 'i', 'y', 'u', 'pf', 'ts', 'ɪ', 'ʏ', 'ʊ', 'f', 's', 'ʃ', 'x', 'h', 'e', 'ø', 'o', 'v', 'z', 'ʁ', 'ɛ', 'œ', 'ə', 'ɔ', 'm', 'n', 'ŋ', 'æ', 'a', 'ɑ', 'l', 'j', 'ai', 'ɔi', 'au', '']"
170,"German, Michigan",INDO-EUROPEAN (Germanic),"['k', 'ai', 'iː', 'ĩː', 'uː', 'b', 'd', 'ɡ', 'au', 'ɪ', 'ʊ', 'f', 's', 'ʃ', 'x', 'h', 'eː', 'ẽː', 'oː', 'õː', 'm', 'n', 'ŋ', 'e̞', 'ə', 'o̞', 'l', 'æː', 'r', 'aː', 'ãː', 'ɑː', 'w', 'j', 'a', 'ɑ', '']"
171,Ghotuo,NIGER-CONGO (Edoid),"['p', 't', 'k', 'k͡p', 'b', 'd', 'ɡ', 'ɡ͡b', 'i', 'u', 'f', 's', 'x', 'h', 'e', 'o', 'v', 'z', 'ɣ', 'ɛ', 'ɔ', 'h̃', 'a', 'm', 'n', 'm̂', 'ɾ̃', 'r', 'ʋ', 'l', 'j', 'w', 'ɺ', 'ĵ', '']"
172,Gikuyu,NIGER-CONGO (Bantu,"['t', 'k', 'β', 'ɡ', 'i', 'u', 'θ', 'ç', 'h', 'ĩ', 'ũ', 'm', 'n', 'ɲ', 'ŋ', 'e', 'o', 'w', 'ɹ', 'j', 'a', '']"
173,Giziga,AFRO-ASIATIC (Chadic),"['p', 't', 'k', 'kʷ', 'b', 'd', 'ɡ', 'ɡʷ', 'ɓ', 'ɗ', 'i', 'u', '\uf180b', 'ⁿd', '\uf182ɡ', 'e', 'o', 'ts', 'ə', 'dz', 'a', 'ⁿdz', 'f', 's', 'v', 'z', 'ⁿz', 'ɬ', 'ɮ', 'm', 'n', 'ŋ', 'l', 'r', 'w', 'j', 'h', 'ʔ', '']"
174,Godoberi,NORTH CAUCASIAN,"['p', 't̪', 't̪̀', 'ts', 'ts̀', 'tɬ', 'tʃ', 'tʃ̀', 'k', 'kʷ', 'k̀', 'k̀ʷ', 'q', 'qʷ', 'ʕ', 'ʔ', 't̪ʼ', 'tsʼ', 'tɬʼ', 'tʃʼ', 'kʼ', 'kʼʷ', 'qʼ', 'qʼʷ', 'iː', 'uː', 'b', 'd̪', 'ɡ', 'ɡʷ', 'i', 'ĩ', 'u', 'ũ', 's', 's̀', 'ɬ', 'ɬ̀', 'ʃ', 'ʃ̀', 'x', 'xʷ', 'x̀', 'x̀ʷ', 'χ', 'χʷ', 'χ̀', 'χ̀ʷ', 'ħ', 'h', 'eː', 'oː', 'z', 'ʒ', 'ʁ', 'ʁʷ', 'e', 'o', 'm', 'n', 'aː', 'l', 'a', 'ã', 'r', 'w', 'j', '']"
175,"Gondi, Adilabad",DRAVIDIAN,"['pʰ', 't̪ʰ', 'ʈʰ', 'tʃʰ', 'kʰ', 'p', 't̪', 'ʈ', 'tʃ', 'k', 'bʰ', 'd̪ʰ', 'ɖʰ', 'dʒʰ', 'ɡʰ', 'b', 'd̪', 'ɖ', 'dʒ', 'ɡ', 'i', 'iː', 'u', 'uː', 'm', 'n̪', 'ŋ', 'e', 'eː', 'o', 'oː', 's', 'a', 'aː', 'ɽ', 'r', 'l', 'v', 'j', 'h', '']"
176,"Gondi, Koya",DRAVIDIAN,"['p', 't̪', 'ʈ', 'tʃ', 'k', 't̪ʼ', 'kʼ', 'b', 'd̪', 'ɖ', 'dʒ', 'ɡ', 'i', 'iː', 'u', 'uː', 'm', 'n', 'ɳ', 'ŋ', 'e', 'eː', 'o', 'oː', 's̪', 'a', 'aː', 'r', 'l', 'v', 'j', '']"
177,Gooniyandi,AUSTRALIAN,"['b', 't̪', 'd', 'ɖ', 'ɟ', 'ɡ', 'm', 'n̪', 'n', 'ɳ', 'ɲ', 'ŋ', 'i', 'ɯ', 'l', 'ɭ', 'ʎ', 'a', 'ɑ', 'ɾ', 'w', 'ɻ', 'j', '']"
178,Grebo,NIGER-CONGO,"['p', 't', 'c', 'k', 'k͡p', 'b', 'd', 'ɟ', 'ɡ', 'ɡ͡b', 'i', 'ĩ', 'u', 'ũ', 'f', 's', 'h', 'e', 'ẽ', 'o', 'õ', 'm̥', 'n̥', 'emf', 'omf', 'm', 'n', 'ɲ', 'ŋ', 'ŋ͡m', 'ɛ', 'ɛ̃', 'ɔ', 'ɔ̃', 'ŋʷ', 'a', 'ã', 'l̥', 'ʍ', 'l', 'j', 'w', '']"
179,Greek,INDO-EUROPEAN,"['p', 't', 'k', 'i', 'u', 'f', 'θ', 's', 'x', 'e', 'o', 'v', 'ð', 'z', 'ɣ', 'a', 'm', 'n', 'r', 'l', '']"
180,Guatuso (Maléku Jaíka),CHIBCHAN,"['p', 't', 'tʃ', 'k', 'dʒ', 'i', 'u', 'ɸ', 's', 'ɬ', 'x', 'e', 'o', 'm', 'n', 'ŋ', 'a', 'r', 'ɾ', 'l', '']"
181,Gugu-Bujun,AUSTRALIAN(?),"['b', 'd', 'dʲ', 'ɖ', 'ɡ', 'm', 'n', 'nʲ', 'ŋ', 'i', 'u', 'r', 'a', 'l', 'w', 'ɻ', 'j', '']"
182,Gujarati,INDO-EUROPEAN (Indo-Aryan),"['p', 't̪', 'ʈ', 'tʃ', 'k', 'b', 'd̪', 'ɖ', 'dʒ', 'ɡ', 'i', 'u', 's̪', 'ʃ', 'e', 'ə', 'o', 'm', 'n̪', 'ɳ', 'N?', 'æ', 'a', 'ɑ', 'l', 'ɭ', 'ɾ', 'w', 'j', 'h', '']"
183,Gunin/Kwini,AUSTRALIAN (Pama-Nyungan),"['b', 'd', 'ɖ', 'ɟ', 'ɡ', 'm', 'n', 'ɳ', 'ɲ', 'ŋ', 'i', 'ɨ', 'u', 'l', 'ɭ', 'ʎ', 'e', 'o', 'r', 'a', 'w', 'ɻ', 'j', '']"
184,Gwari (Gbagyi),NIGER-CONGO,"['p', 't', 'tʃ', 'k', 'k͡p', 'b', 'd', 'dʒ', 'ɡ', 'ɡ͡b', 'i', 'u', 'ɓ', 'e', 'o', 'f', 's', 'ʃ', 'a', 'v', 'z', 'ʒ', 'm', 'n', 'ɲ', 'ŋʷ', 'l', 'j', 'ɥ', 'w', '']"
185,Haitian Creole,CREOLE,"['p', 't', 'k', 'b', 'd', 'ɡ', 'ĩ', 'ũ', 'i̞', 'u̞', 'f', 's', 'ʃ', 'ẽ', 'õ', 'e', 'o', 'v', 'z', 'ʒ', 'ə̃', 'ɛ', 'ɔ', 'm', 'n', 'a', 'l', 'ɹ', 'j̃', 'w', 'j', '']"
186,Hakka (Kejia),SINO-TIBETAN,"['pʰ', 'tʰ', 'tsʰ', 'kʰ', 'p', 't', 'ts', 'k', 'i', 'y', 'u', 'f', 's', 'h', 'e', 'o', 'm', 'n', 'ŋ', 'a', 'l', 'w', 'j', '']"
187,"Halkomelem, Chilliwack",SALISHAN,"['p', 't', 'kʷ', 'q', 'qʷ', 'pʼ', 'tʼ', 'kʼʷ', 'qʼ', 'qʼʷ', 'ʔ', 'i', 'u', 'tʃ', 'ɛ', 'ə', 'o', 'tθʼ', 'tɬʼ', 'tʃʼ', 'a', 'θ', 'ɬ', 'ʃ', 'ç', 'xʷ', 'χ', 'χʷ', 'h', 'm', 'l', 'w', 'j', '']"
188,Hatam,WEST PAPUAN,"['p', 't', 'c', 'k', 'b', 'd', 'ɟ', 'ɡ', 'pː', 'tː', 'kː', 'i', 'u', 's', 'h', 'ɛ', 'a', 'ɔ', 'm', 'n', 'ɲ', 'ŋ', 'mː', 'nː', 'ɾ', 'w', 'j', '']"
189,Hausa,AFRO-ASIATIC (Chadic),"['t', 'tʃ', 'k', 'kʷ', 'kʲ', 'b', 'd', 'dʒ', 'ɡ', 'ɡʷ', 'ɡʲ', 'ai', 'au', 'ɓ', 'ɗ', 'ɠ', 'ɠʷ', 'ɠʲ', 'ʔ', 'f', 'fʲ', 's', 'ʃ', 'h', 'iː', 'uː', 'z', 'i', 'u', 'sʼ', 'eː', 'oː', 'm', 'n', 'e', 'o', 'l', 'aː', 'ɾ', 'a', 'r', 'ʔj', 'j', 'w', '']"
190,Hebrew,AFRO-ASIATIC (Semitic),"['p', 't̪', 'ts', 'tʃ', 'k', 'ʔ', 'b', 'd̪', 'dʒ', 'ɡ', 'i', 'u', 'f', 's̪', 'ʃ', 'x', 'ħ', 'h', 'e', 'o', 'v', 'z̪', 'ʒ', 'ʁ', 'ʕ', 'a', 'm', 'n̪', 'l', 'j', '']"
191,Higi (Kamwe),AFRO-ASIATIC (Chadic),"['pʰ', 'tʰ', 'kʰ', 'b', 'd', 'ɡ', 'i', 'ɨ', 'ɓ', 'ɗ', 'ʔ', 'e', 'tsʰ', 'ɛ', 'dz', 'a', 'f', 's', 'x', 'v', 'z', 'ɣ', 'v̌', 'ɬ', 'ɮ', 'm', 'n', 'ŋ', 'l', 'r', 'w', 'j', '']"
192,Hiligaynon,AUSTRONESIAN,"['p', 't', 'k', 'ʔ', 'b', 'd', 'ɡ', 'i', 'u', 's', 'h', 'm', 'n', 'ŋ', 'a', 'ɾ', 'l', 'w', 'j', '']"
193,Hindi,INDO-EUROPEAN (Indo-Aryan),"['pʰ', 't̪ʰ', 'ʈʰ', 'tʃʰ', 'kʰ', 'p', 't̪', 'ʈ', 'tʃ', 'k', 'iː', 'ĩː', 'uː', 'ũː', 'bʰ', 'd̪ʰ', 'ɖʰ', 'dʒʰ', 'ɡʰ', 'i', 'ĩ', 'u', 'ũ', 'b', 'd̪', 'ɖ', 'dʒ', 'ɡ', 'eː', 'ẽː', 'oː', 'õː', 'f', 's', 'ʃ', 'x', 'h', 'e', 'ẽ', 'o', 'õ', 'z', 'ɣ', 'aː', 'ãː', 'mʰ', 'n̪ʰ', 'ɛ', 'ɛ̃', 'a', 'ã', 'ɔ', 'ɔ̃', 'm', 'n̪', 'ɳ', 'l̪ʰ', 'l̪', 'ɽʰ', 'r', 'ɽ', 'ʋ', 'j', '']"
194,Hixkaryana,CARIB,"['p', 't', 'tʃ', 'k', 'b', 'd', 'd̻', 'ɯ', 'u', 'f', 's', 'ʃ', 'h', 'e', 'ɔ', 'm', 'n', 'ɲ', 'æ', 'ɾ', 'ɽ', 'w', 'j', '']"
195,Hungarian,URALIC (Finno-Ugric),"['p', 't', 'ts', 'c', 'cç', 'k', 'b', 'd', 'dz', 'ɟ', 'ɟʝ', 'ɡ', 'i', 'y', 'u', 'f', 's', 'ç', 'h', 'e', 'ø', 'o', 'v', 'z', 'ʝ', 'æ', 'a', 'm', 'n', 'ɲ', 'r', 'l', 'j', '']"
196,Hurza/Ndreme/Vame (Pelasla),AFRO-ASIATIC (Chadic),"['p', 't', 'c', 'k', 'kʷ', 'b', 'd', 'ɟ', 'ɡ', 'ɡʷ', 'ɓ', 'ɗ', 'i', 'u', '\uf180b', 'ⁿd', '\uf182ɡ', 'e', 'o', 'ts', 'ə', 'dz', 'a', 'ⁿdz', 'f', 's', 'ɕ', 'v', 'z', 'ʑ', 'ɬ', 'ɮ', 'm', 'n', 'ŋ', 'l', 'r', 'w', 'j', 'h', 'hʷ', '']"
197,Ibilo,NIGER-CONGO (Edoid),"['p', 't', 'k', 'k͡p', 'b', 'd', 'ɡ', 'ɡ͡b', 'i', 'u', 't̂', 'k̂', 'k̂͡p̂', 'ʊ', 'b̂', 'd̂', 'ɡ̂', 'ɡ̂͡b̂', 'e', 'o', 'ts', 'ɛ', 'ɔ', 'dz', 'a', 'f', 's', 'ʃ', 'h', 'v', 'v̤', 'z̤', 'ʒ̤', 'h̃', 'm', 'n', 'ɲ', 'ŋʷ', 'm̂', 'n̂', 'm̤', 'n̤', 'r', 'l', 'j', 'w', 'ɺ', 'l̤', '']"
198,Icen,NIGER-CONGO,"['p', 't', 'k', 'ts', 'b', 'd', 'ɡ', 'i', 'ĩ', 'ɨ', 'ɨ̃', 'u', 'ũ', 'f', 's', 'ɛ', 'ɛ̃', 'ɔ', 'ɔ̃', 'v', 'z', 'a', 'ã', 'm', 'n', 'ŋ', 'r', 'l', 'w', 'j', '']"
199,Igbo,NIGER-CONGO,"['p', 't', 'k', 'kʷ', 'b', 'd', 'ɡ', 'ɡʷ', 'i', 'u', 'k͡p', 'ɪ', 'ʊ', 'ɡ͡b', 'e', 'o', 'f', 's', 'h', 'a', 'ɔ', 'v', 'z', 'ɣ', 'm', 'n', 'ɲ', 'ŋ', 'ŋʷ', 'r', 'l', 'j', 'w', '']"
200,"Ijo, Kolokuma dialect",NIGER-CONGO,"['p', 't', 'k', 'k͡p', 'b', 'd', 'ɡ', 'ɡ͡b', 'i', 'u', 'f', 's', 'ɪ', 'ʊ', 'v', 'z', 'e', 'o', 'm', 'n', 'ŋ', 'ɛ', 'ɔ', 'l', 'a', 'ɾ', 'j', 'w', '']"
201,Ikalanga (Kalanga),NIGER-CONGO (Bantu),"['pʰ', 't̪ʰ', 'tʰ', 'kʰ', 'kʰʷ', 'p͡kʰ', 'pɦ', 'tɦ', 'kʷɦ', 'b͡ɡ', 'p', 't̪', 'k', 'kʷ', 'i', 'u', 'b', 'd̪', 'd', 'dʷ', 'ɡ', 'ɡʷ', 'e', 'o', 't̪s̪', 't̪s̪ʰ', 't̪s̪ʰʷ', 'tʃ', 'a', 'd̪z̪', 't̪s̪ɦ', 'd̪z̪ʷ', 'dʒ', 'tʃɦ', 'f', 's', 'sʷ', 'ʃ', 'ʃʷ', 'v', 'z', 'zʷ', 'ʒ', 'ɦ', 'm', 'n', 'ɲ', 'ŋ', '\uf180b', 'ⁿd', 'ⁿdʒ', '\uf182ɡ', 'r', 'l', 'ʋ', 'j', 'w', 'wɦ', '']"
202,Ilocano,AUSTRONESIAN,"['p', 't̪', 'k', 'ʔ', 'b', 'd̪', 'ɡ', 'i', 'ɯ', 'u', 's', 'ɛ', 'o', 'm', 'n̪', 'ŋ', 'a', 'l', 'r', 'w', 'j', '']"
203,Indonesian,AUSTRONESIAN,"['p', 't', 'tʃ', 'k', 'ʔ', 'b', 'd', 'dʒ', 'ɡ', 's', 'h', 'i', 'u', 'e', 'ə', 'o', 'm', 'n', 'ɲ', 'ŋ', 'a', 'l', 'r', 'w', 'j', '']"
204,Ingessana,NILO-SAHARAN,"['p', 't̪', 't̪ʃ', 'k', 'b', 'd̪', 'd̪ʒ', 'ɡ', 'i', 'iː', 'u', 'uː', 'f', 's̪', 'e', 'eː', 'ə', 'əː', 'o', 'oː', 'm', 'n̪', 'ɲ', 'ŋ', 'a', 'aː', 'l̪θ', 'l̪', 'r̪', 'w', 'j', '']"
205,Inor (dialect of West Gurage),AFRO-ASIATIC (Semitic),"['t', 'k', 'tʼ', 'kʼ', 'ʔ', 'i', 'ɨ', 'u', 'b', 'd', 'ɡ', 'e', 'ə', 'o', 'f', 'ʃ', 'x', 'æ', 'a', 'z', 'm', 'n', 'l', 'r', 'ɥ', 'j', '']"
206,"Inuktitut, West Greenlandic",ESKIMO-ALEUT,"['p', 't', 'k', 'q', 's', 'i', 'u', 'v', 'ʝ', 'ɣ', 'ʁ', 'a', 'm', 'n', 'ŋ', 'l', '']"
207,"Inupiaq, Barrow (North Alaskan Inupiatun)",ESKIMO-ALEUT,"['p', 't', 'k', 'q', 's', 'x', 'χ', 'h', 'i', 'u', 'v', 'ɣ', 'ʁ', 'a', 'ɬ', 'ʎ̥', 'l', 'ʎ', 'm', 'n', 'ɲ', 'ŋ', 'r', 'j', '']"
208,Iraqw,AFRO-ASIATIC (Cushitic),"['p', 't', 'k', 'q', 'ʔ', 'b', 'd', 'ɡ', 'ʕ', 'iː', 'uː', 'ts', 'tʃ', 'tɬ', 'i', 'u', 'dʒ', 'eː', 'oː', 'f', 's', 'ʃ', 'ɬ', 'x', 'ħ', 'h', 'e', 'o', 'm', 'n', 'ɲ', 'ŋ', 'ɴ', 'aː', 'l', 'a', 'r', 'w', 'j', '']"
209,Irish (Irish Gaelic),INDO-EUROPEAN (Celtic),"['p', 'pʲ', 't', 'tʲ', 'k', 'kʲ', 'b', 'bʲ', 'd', 'dʲ', 'ɡ', 'ɡʲ', 'iː', 'uː', 'f', 'fʲ', 's', 'sʲ', 'x', 'xʲ', 'h', 'hʲ', 'i', 'u', 'vʲ', 'ṽʲ', 'ɣ', 'eː', 'oː', 'm', 'mʲ', 'n', 'nʲ', 'n̟', 'n̟ʲ', 'e', 'ə', 'o', 'l', 'lʲ', 'l̟', 'l̟ʲ', 'aː', 'r', 'rʲ', 'r̟', 'r̟ʲ', 'a', 'w', 'w̃', 'j', '']"
